Trial TIME PL_PSM RA_PSM MV_PSM GC_PSM WV_PSM PL_MTM WV_MTM
Knot_Tying_B001 57.833 956.076 7514.672 0.000 19 32851.270 1909.017 262731.233
Knot_Tying_B002 49.333 774.519 5825.656 0.020 11 37954.568 1549.221 303527.018
Knot_Tying_B003 53.733 950.577 7524.413 0.093 10 49736.339 1906.572 398069.933
Knot_Tying_B004 60.667 1334.673 9659.295 0.082 15 61874.600 2697.152 492682.890
Knot_Tying_C001 40.900 1415.478 10786.939 0.514 17 130177.838 2826.020 1040600.352
Knot_Tying_C002 35.600 1416.175 11955.493 0.787 13 113548.380 2838.836 907953.942
Knot_Tying_C003 35.767 1414.339 12439.656 0.728 15 97128.287 2824.150 776692.237
Knot_Tying_C004 46.100 1514.402 13320.928 0.586 18 101100.095 3029.070 808015.395
Knot_Tying_C005 38.333 1300.912 10367.879 0.392 12 85865.417 2602.018 686522.713
Knot_Tying_D001 46.633 1221.846 9668.464 0.215 11 53168.807 2440.078 425122.647
Knot_Tying_D002 41.367 1239.070 9332.568 0.315 14 83044.048 2478.744 664474.698
Knot_Tying_D003 46.733 1262.436 10133.694 0.407 15 64978.851 2525.393 519553.807
Knot_Tying_D004 34.967 1015.084 7954.618 0.544 12 60221.457 2029.742 481561.956
Knot_Tying_D005 41.867 1105.583 8344.411 0.382 12 63033.297 2211.939 503974.444
Knot_Tying_E001 53.067 1404.110 11201.029 0.207 11 86758.135 2806.083 693781.965
Knot_Tying_E002 43.233 1101.623 8689.274 0.185 10 84807.042 2204.460 678467.114
Knot_Tying_E003 47.100 1183.830 9589.225 0.276 12 97650.037 2375.797 781290.805
Knot_Tying_E004 45.700 1252.192 10235.756 0.219 13 111172.103 2506.005 889162.342
Knot_Tying_E005 41.900 937.084 7970.894 0.143 12 70420.623 1872.482 563104.628
Knot_Tying_F001 30.667 831.644 6450.076 0.359 13 37498.837 1661.799 299911.918
Knot_Tying_F002 33.733 1056.442 7922.685 0.326 16 64172.408 2110.366 513288.780
Knot_Tying_F003 90.733 1507.006 10087.279 0.077 22 109532.396 3036.324 878292.650
Knot_Tying_F004 61.000 1524.925 11868.371 0.328 24 66401.207 3044.754 530866.811
Knot_Tying_F005 61.633 1689.518 12766.839 0.487 22 124096.496 3375.164 992020.987
Knot_Tying_G001 78.967 1946.348 14952.898 0.228 24 92649.130 3888.074 740831.236
Knot_Tying_G002 76.067 1446.074 10409.652 0.171 27 55249.404 2887.922 441758.363
Knot_Tying_G003 80.500 1599.795 11176.056 0.298 24 85827.037 3203.161 686273.812
Knot_Tying_G004 128.433 2886.448 21799.468 0.234 36 111906.350 5766.870 894803.924
Knot_Tying_G005 56.533 1303.284 9049.461 0.248 17 79845.020 2603.858 638388.547
Knot_Tying_H003 54.500 1094.319 8403.646 0.202 15 70956.110 2187.071 567613.275
Knot_Tying_H004 75.033 986.488 7991.591 0.080 13 74338.273 1985.164 594658.100
Knot_Tying_H005 65.067 1112.027 8249.480 0.092 11 64186.145 2230.685 513692.351
Knot_Tying_I001 77.633 1779.927 14093.697 0.103 15 106619.313 3554.738 852663.521
Knot_Tying_I002 80.867 1962.648 16259.986 0.161 19 137267.870 3920.489 1097771.401
Knot_Tying_I003 68.767 1399.118 11668.815 0.073 14 79251.476 2794.245 633782.736
Knot_Tying_I005 88.500 2019.836 15749.635 0.181 17 114551.836 4035.066 916243.617
