Trial TIME PL_PSM RA_PSM MV_PSM GC_PSM WV_PSM PL_MTM WV_MTM
Needle_Passing_B001 114.600 1675.540 13482.288 0.052 18 89670.648 3346.488 716794.683
Needle_Passing_B002 105.900 1353.779 10782.400 0.000 15 52258.857 2703.804 417830.999
Needle_Passing_B003 107.933 1154.330 9091.187 0.000 14 45803.380 2311.330 366169.239
Needle_Passing_B004 96.267 966.480 7532.240 0.021 14 42906.290 1942.450 343046.559
Needle_Passing_C001 143.767 2657.219 21923.603 0.139 35 133734.217 5297.551 1068741.921
Needle_Passing_C002 120.433 2618.565 21111.789 0.199 28 134607.520 5221.341 1074215.787
Needle_Passing_C003 119.067 2807.880 23219.220 0.260 37 129082.139 5606.769 1031027.152
Needle_Passing_C004 81.033 1788.301 14645.833 0.370 22 77599.585 3573.097 622088.002
Needle_Passing_C005 85.233 1880.862 14278.515 0.200 21 128205.733 3761.141 1024783.903
Needle_Passing_D001 155.033 2521.496 19981.700 0.039 41 63268.870 5035.343 505547.389
Needle_Passing_D002 109.500 1627.063 12522.243 0.037 30 52293.236 3262.702 420733.174
Needle_Passing_D003 107.800 2014.016 16259.906 0.093 27 60644.642 4029.110 490079.971
Needle_Passing_D004 90.333 1899.654 15743.574 0.144 27 67005.540 3795.768 535400.409
Needle_Passing_D005 70.800 1254.482 10572.986 0.113 17 66077.783 2509.346 527931.148
Needle_Passing_E001 108.533 2009.985 16320.627 0.101 17 119750.997 4015.218 957568.211
Needle_Passing_E003 113.800 2046.627 16252.010 0.141 16 142680.398 4087.482 1140572.345
Needle_Passing_E004 112.533 1523.309 12472.704 0.053 14 86225.417 3048.909 689329.029
Needle_Passing_E005 110.867 1603.138 12823.622 0.081 19 131679.054 3209.709 1053478.611
Needle_Passing_F001 62.367 1438.703 10960.264 0.257 14 104311.350 2873.643 833671.266
Needle_Passing_F003 77.400 2026.889 15031.275 0.401 20 171906.668 4048.932 1375286.878
Needle_Passing_F004 59.567 1642.121 11865.217 0.336 22 118272.905 3280.763 945534.984
Needle_Passing_H002 123.367 2240.016 17254.563 0.065 26 89515.622 4469.523 715200.644
Needle_Passing_H004 121.767 1799.534 13819.961 0.041 27 63073.576 3596.777 504152.609
Needle_Passing_H005 110.533 1676.576 12883.832 0.090 14 72281.665 3404.518 580958.727
Needle_Passing_I002 114.767 2223.030 18108.258 0.148 21 111521.136 4437.323 891462.971
Needle_Passing_I003 158.700 2680.387 21938.786 0.088 29 115571.911 5347.725 923673.265
Needle_Passing_I004 132.600 2141.580 17953.982 0.068 21 106579.383 4274.355 851899.911
Needle_Passing_I005 113.767 2012.122 16638.287 0.158 21 101865.639 4015.967 814330.903
